line_id,n,ngram,count,start,middle,end
1,2,er,32720,1,1,1
2,2,en,21374,1,1,1
3,2,ch,16874,1,1,1
4,2,te,15739,1,1,1
5,2,st,14695,1,1,1
6,2,in,12858,1,1,1
7,2,re,11815,1,1,1
8,2,un,11158,1,1,1
9,2,ng,11092,1,1,1
10,2,ei,10953,1,1,1
11,2,ra,10865,1,1,1
12,2,ie,10817,1,1,1
13,2,ti,10543,1,1,1
14,2,he,9930,1,1,1
15,2,on,9769,1,1,1
16,2,an,9433,1,1,1
17,2,sc,9305,1,1,1
18,2,ge,9030,1,1,1
19,2,tr,8851,1,1,1
20,2,le,8380,1,1,1
21,2,au,8267,1,1,1
22,2,ri,8251,1,1,1
23,2,is,7977,1,1,1
24,2,nt,7783,1,1,1
25,2,nd,7621,1,1,1
26,2,al,7533,1,1,1
27,2,at,7237,1,1,1
28,2,de,7122,1,1,1
29,2,io,6973,1,1,1
30,2,ns,6839,1,1,1
31,2,us,6821,1,1,1
32,2,el,6808,1,1,1
33,2,se,6482,1,1,1
34,2,ne,6469,1,1,1
35,2,ru,6055,1,1,1
36,2,es,5992,1,1,1
37,2,li,5968,1,1,1
38,2,it,5852,1,1,1
39,2,ss,5720,1,1,1
40,2,be,5639,1,1,1
41,2,ro,5585,1,1,1
42,2,na,5507,1,1,1
43,2,ar,5488,1,1,1
44,2,or,5371,1,1,1
45,2,la,5103,1,1,1
46,2,ta,4934,1,1,1
47,2,me,4820,1,1,1
48,2,si,4733,1,1,1
49,2,rt,4664,1,1,1
50,2,ke,4537,1,1,1
51,2,ck,4500,1,1,1
52,2,ni,4253,1,1,1
53,2,gs,4193,1,1,1
54,2,et,4019,1,1,1
55,2,ll,3944,1,1,1
56,2,ze,3859,1,1,1
57,2,hi,3683,1,1,1
58,2,ma,3675,1,1,1
59,2,sp,3621,1,1,1
60,2,kt,3593,1,1,1
61,2,ha,3583,1,1,1
62,2,ko,3571,1,1,1
63,2,ig,3555,1,1,1
64,2,um,3513,1,1,1
65,2,ab,3487,1,1,1
66,2,ts,3298,1,1,1
67,2,pr,3218,1,1,1
68,2,sa,3148,1,1,1
69,2,fe,3140,1,1,1
70,2,di,3133,1,1,1
71,2,ic,3107,1,1,1
72,2,as,3105,1,1,1
73,2,rs,3103,1,1,1
74,2,tu,2927,1,1,1
75,2,ka,2753,1,1,1
76,2,il,2738,1,1,1
77,2,mi,2735,1,1,1
78,2,ol,2682,1,1,1
79,2,pe,2653,1,1,1
80,2,ia,2644,1,1,1
81,2,em,2640,1,1,1
82,2,ve,2547,1,1,1
83,2,hr,2499,1,1,1
84,2,ik,2496,1,1,1
85,2,ht,2446,1,1,1
86,2,ur,2411,1,1,1
87,2,to,2406,1,1,1
88,2,lu,2392,1,1,1
89,2,ag,2383,1,1,1
90,2,nk,2375,1,1,1
91,2,bl,2273,1,1,1
92,2,hl,2215,1,1,1
93,2,eu,2208,1,1,1
94,2,zi,2207,1,1,1
95,2,we,2182,1,1,1
96,2,ek,2182,1,1,1
97,2,fa,2178,1,1,1
